action,time,price,pnl
short_entry,2020-07-06 16:00:00,9289.65,
short_exit,2020-07-08 12:00:00,9411.72,-122.06999999999971
short_entry,2020-07-08 16:00:00,9430.0,
short_exit,2020-07-09 12:00:00,9208.58,221.42000000000007
short_entry,2020-07-21 08:00:00,9344.63,
short_exit,2020-07-22 20:00:00,9518.16,-173.53000000000065
short_entry,2020-07-23 00:00:00,9491.99,
short_exit,2020-07-23 16:00:00,9595.8,-103.80999999999949
short_entry,2020-07-23 20:00:00,9603.27,
short_exit,2020-07-25 20:00:00,9700.42,-97.14999999999964
short_entry,2020-07-26 04:00:00,9716.54,
short_exit,2020-07-26 08:00:00,9970.87,-254.32999999999993
short_entry,2020-07-26 12:00:00,9961.83,
short_exit,2020-07-27 00:00:00,10248.84,-287.0100000000002
short_entry,2020-07-27 04:00:00,10157.95,
short_exit,2020-07-27 12:00:00,10299.9,-141.9499999999989
short_entry,2020-07-27 16:00:00,10792.0,
short_exit,2020-07-27 20:00:00,11029.96,-237.95999999999913
short_entry,2020-07-28 00:00:00,10971.42,
short_exit,2020-07-28 12:00:00,11150.26,-178.84000000000015
short_entry,2020-07-28 16:00:00,10993.97,
short_exit,2020-07-29 12:00:00,11162.01,-168.04000000000087
short_entry,2020-07-29 16:00:00,11204.59,
short_exit,2020-07-30 04:00:00,10941.64,262.9500000000007
short_entry,2020-08-01 04:00:00,11657.35,
short_exit,2020-08-01 20:00:00,11801.17,-143.8199999999997
short_entry,2020-08-02 00:00:00,12000.0,
short_exit,2020-08-02 04:00:00,11323.78,676.2199999999993
short_entry,2020-08-17 12:00:00,12421.55,
short_exit,2020-08-18 08:00:00,12170.43,251.11999999999898
long_entry,2020-08-25 16:00:00,11294.0,
long_exit,2020-08-28 12:00:00,11529.63,235.6299999999992
short_entry,2020-09-01 12:00:00,12039.33,
short_exit,2020-09-02 04:00:00,11722.84,316.4899999999998
long_entry,2020-09-03 12:00:00,10670.28,
long_exit,2020-09-03 20:00:00,10140.85,-529.4300000000003
long_entry,2020-09-04 00:00:00,10265.42,
long_exit,2020-09-04 16:00:00,10570.13,304.7099999999991
long_entry,2020-09-05 08:00:00,10225.66,
long_exit,2020-09-05 16:00:00,9956.66,-269.0
short_entry,2020-09-16 04:00:00,10915.49,
short_exit,2020-09-19 08:00:00,11140.0,-224.51000000000022
long_entry,2020-09-21 12:00:00,10418.76,
long_exit,2020-09-23 16:00:00,10293.0,-125.76000000000022
short_entry,2020-10-09 08:00:00,11050.43,
short_exit,2020-10-10 00:00:00,11412.96,-362.52999999999884
short_entry,2020-10-10 04:00:00,11381.3,
short_exit,2020-10-12 12:00:00,11549.38,-168.07999999999993
short_entry,2020-10-19 12:00:00,11800.0,
